  GIMNAZJUM          MARYNARZ         FALBANKA         EDUKACJA
      ńeicdO             eonaK              atonlópsW            zsowtS tiW
       noT                kajaK              awtsńaP               łóicśoK

  AKYTSYROLOK            JAGAP          AKSJEPORUE AINU       AKCAIRAM AŻEIW
   EWIDENCJA        WSTRZYMANIE OGNIA       MŁOTEK               DEBET

     Ludność            Przerwanie          Gwoździe              Bank
      Wykaz          Zawieszenie Broni       Wbijać               Saldo
    Rejestracja           Rozejm            Kąbinerki           Pieniądze
       Spis               Walka              Ściana               Konto
    Statystyka             Bitwa            Narzędzie             Karta


     ezczsyrP            ikslukiM             ikdołS             okzaleŻ
       arókS               recifO          spuhC apuhC          akrazsuS
     akpysyW             rennurB              iceizD            akwókoL
      kizdąrT         awotaiwŚ anjoW        ukytaP aN            rejzyrF
      zrakeL              akwatS            ywocowO               ysołW

  GOLOTAMRED           SSOLK SNAH            KAZIL           ACINWOTSORP


    RUBASZNY            ABORDAŻ             SZAFRAN           JUWENALIA

       Kiedyś             Walka               Krokus            Impreza
     Swobodny             Piraci               Żółty           Uniwersytet
  Bezceremonialny         Bitwa              Barwnik              Szkoła
       Prosty             Statek            Przyprawa            Student
      Sprośny              Atak               Kwiat              Koncert


       akęR                werK               ćinortS               kęL
      ćyzreiM             ozaleŻ             kinletsuP      anzcihcysP aborohC
       ontęT             aimenA              kintomaS              dęłbO
     rtemoraB           akzcetsązC            eizduL             ainejorU
       werK                nelT           iksyzrawoteiN        ęiS ćawadyW

 ZREIMOINEINŚIC       ANIBOLGOMEH           KEDULDO            AJONARAP


KORDON SANITARNY        MAJÓWKA          NASZA SZKAPA       UKŁAD SŁONECZNY

    Posterunek            Piknik               Dzieci        Mikołaj Kopernik
     Epidemia            Weekend              Kobyła             Planeta
     Choroba             Wiosna               Nowela              Wenus
      Wojsko             Wyjazd          Maria Konopnicka         Ziemia
   Kwarantanna             Maj                Lektura             Orbita


        igułD            ypotsjaR          yndęlgzwzeB           akninołS
       ytałpO            kiboreA              kytiloP            aktagoB
   aryhC jezrdnA          ełsicbO             ężąisK               amiZ
      ćareibaZ             yrteG             mzinyC                katP
     icśołgelaZ          eindopS             pętsdoP             kinmraK

   KINROMOK             YSNIGGEL         YNZCILEWAIKAM          AKROKIS


CZAPKA NIEWIDKA           EKLER           DZIELNICOWY          SYMBIOZA

      Głowa         Zamek Błyskawiczny      Komisariat         Współżycie
      Magia                 Krem             Policjant          Korzyść
      Znikać           Bita Śmietana          Rewir            Organizm
     Zobaczyć             Ciastko            Mundur             Łączyć
   Czarodziejski            Ptyś          Funkcjonariusz       Mutualizm


       ćahceJ          kenyzcopyW          kytrewartskE           kytiloP
        ńoK             analwoduB            zrtąnweW           akwópaŁ
      łaizddO             anloR               ezrtęnW           ćipukezrP
       apurG              aimeiZ               ćiwóM            ezdąineiP
      kazsrO               llirG            ćśowobosO           kindęzrU

   ADAKLAWAK            AKŁAIZD          MZYTREWORTNI       YNAWOPMUROKS
    TRĄBKA            ZAPOWIEDŹ               SZKŁO               BESTIA

 Instrument Dęty          Film                 Szyba               Bajka
     Dmuchać               Tv                 Rozbić           Dzikie Zwierzę
       Słoń               Kino                Butelka          Zwyrodniałość
       Grać             Zwiastun             Szklanka             Potwór
   Eustachiusza          Trailer               Huta                Piękna


      rorroH           anżoN akłiP            ćiwondO              cibiK
    afortsataK            atulaW                apikE             ćajiwO
       werK              zdąineiP            einawolaM             ajyzS
      azorG                2102              ycintoboR            akpazC
     ynzsartS        aksjeporuE ainU         einakzseiM            amiZ

 YNZCYRBAKAM             ORUE                TNOMER               KILAZS


 BARSZCZ BIAŁY     KIEŁBASA WYBORCZA     CHRZEST BOJOWY      PIECHOTA MORSKA

       Żur            Przekupstwo           Przechodzić          Desant
      Zupa                Hasło                Bitwa            Marynarka
      Jajko              Polityk               Wojna             Żołnierz
     Kwaśny             Populizm              Żołnierz            Armia
      Burak              Elekcja            Sakrament            Wojsko


     eżobZ         anzcihcysP aborohC        snalubmA              yretiL
  ćawywohcezrP        azroM moizoP             łangyS             tebaflA
    rotawelE             ketumS              dóhcomaS            retkarahC
    kenyduB             einamałaZ             akteraK              dązrU
     onraiZ          enalśiW ywałuŻ          eiwotogoP            ewonilK

   ZRELHCIPS           AJSERPED                AKRE               OMSIP


   SMAKOŁYK         PARTYCYPACJA            ZASMAŻKA             APASZKA

     Pyszny              Razem                Patelnia            Wiązać
    Potrawa        Współuczestniczenie           Sos              Dodatek
   Palce Lizać           Udział                Mąka                Szyja
     Dobry               Robić                  Zupa               Szalik
    Jedzenie            Zawody                Zagęścić            Chusta


      iktórK              górW                 akezR               akuaN
       doK               tkilfnoK              gezrB           kołwZ ajckeS
     łangyS             adogzeiN               ćąnyłP               ałaiC
       kanZ            kinwicezrP             ajcewzS               purT
       SOS              ajcyzopO               ketatS             anmurT

A'ESROM TEBAFLA      MZINOGATNA          AWOMORP AWARPEZRP     AJCAMUHSKE


   RUPIECIE           ŁACHMANY              TEZAURUS            KANISTER

  Niepotrzebne          Nędzarz             Encyklopedia         Benzyna
    Starocie             Bieda                Leksykon           Zbiornik
      Graty             Ubranie                 Hasło            Pojemnik
      Rzecz             Szmaty                 Słownik            Zapas
   Przedmioty          Zniszczone               Zbiór             Paliwo


  ywoiniL aizdęS        ćśoratS               kełoisO           anawobraK
     acńorbO             acarP              rgO ynoleiZ          puhcteK
    kintsapaN           atsicneR               akjaB             kainmeiZ
      djasfO              keiW            ynawominA mliF          yspihC
       zceM                suZ                 anoiF              ćyżamS
